Subject,Start Date,Start Time,End Time,Description,Location
Introductory Physics II Lab-LAB,01/19/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,01/26/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/02/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/09/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/16/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/23/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/02/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/09/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/16/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/23/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/30/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/06/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/13/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/20/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/27/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,05/04/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,01/19/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,01/26/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/02/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/09/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/16/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,02/23/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/02/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/09/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/16/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/23/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,03/30/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/06/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/13/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/20/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,04/27/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II Lab-LAB,05/04/2022,4:30 pm,6:20 pm,"CRN: 15124 Course #: PHYS-009L-06 Units: 1 Instructor: Cortez, Jarrod",SCIENG 111
Introductory Physics II-DISC,01/19/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,01/26/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,02/02/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,02/09/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,02/16/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,02/23/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,03/02/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,03/09/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,03/16/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,03/23/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,03/30/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,04/06/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,04/13/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,04/20/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,04/27/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Introductory Physics II-DISC,05/04/2022,9:30 am,11:20 am,"CRN: 15163 Course #: PHYS-009-24D Units: 0 Instructor: Dibenedetto, Albert",GRAN 150
Vector Calculus-LECT,01/24/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,01/31/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/07/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/14/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/21/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/28/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/07/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/14/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/21/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/28/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/04/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/11/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/18/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/25/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,05/02/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,01/19/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,01/26/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/02/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/09/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/16/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/23/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/02/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/09/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/16/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/23/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/30/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/06/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/13/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/20/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,04/27/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,05/04/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,01/21/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,01/28/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/04/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/11/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/18/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,02/25/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
Vector Calculus-LECT,03/04/2022,3:30 pm,4:20 pm,"CRN: 16414 Course #: MATH-023-30 Units: 4 Instructor: Yatskar, Alexander",CLSSRM 116
